seq,place_name
0,"Nanjangud, Mysore, Karnataka, India"
1,"Mettur, Tamil Nadu, India"
2,"Chalakudy, Kerala, India"
3,"Thiruvalla, Kerala, India"
4,"Kollam, Kerala, India"
5,"Tirumangalam, Tamil Nadu, India"
6,"Karaikal, Puducherry, India"
7,"Anakaputhur, Sriperumbudur, Tamil Nadu, India"
8,"Gudur, Andhra Pradesh, India"
9,"Kavali, Andhra Pradesh, India"
10,"Chirala, Andhra Pradesh, India"
11,"Bhimavaram, Andhra Pradesh, India"
12,"Vizianagaram, Andhra Pradesh, India"
13,"Chatrapur, Odisha, India"
14,"Bhubaneswar, Odisha, India"
15,"Port Blair, Andaman and Nicobar Islands, India"
16,"Paltan Bazaar, Guwahati, Assam, India"
17,"Alipurduar, West Bengal, India"
18,"Jalpaiguri, West Bengal, India"
19,"Manikchak, West Bengal, India"
20,"Pakur, Jharkhand, India"
21,"Suti, West Bengal, India"
22,"Lalgola, West Bengal, India"
23,"Haringhata, West Bengal, India"
24,"Basirhat, West Bengal, India"
25,"Konnagar, Mirpur, West Bengal, India"
26,"Medinipur, West Bengal, India"
27,"IIT Kharagpur, India"
28,"Jorapokhar, Jharkhand, India"
29,"Jadugora, Jharkhand, India"
30,"Barjora, West Bengal, India"
31,"RL Infotechh & Solutions, Durgapur, India"
32,"Suri, West Bengal, India"
33,"Munger, Bihar, India"
34,"Barh, Bihar, India"
35,"Harnaut, Bihar, India"
36,"Domchanch, Jharkhand, India"
37,"Bokaro Steel City, Jharkhand, India"
38,"Ranchi, Jharkhand, India"
39,"Surajpur, Chhattisgarh, India"
40,"Raipur, Chhattisgarh, India"
41,"Durg, Chhattisgarh, India"
42,"Dhanpuri, Madhya Pradesh, India"
43,"Orai, Uttar Pradesh, India"
44,"Lucknow, Uttar Pradesh, India"
45,"Gola Gokarannath, Uttar Pradesh, India"
46,"Sambhal, Uttar Pradesh, India"
47,"Shikohabad, Uttar Pradesh, India"
48,"Hodal, Haryana, India"
49,"Palwal, Haryana, India"
50,"Delhi, India"
51,"Gohana, Haryana, India"
52,"Roorkee, Uttarakhand, India"
53,"Jagadhri, Haryana, India"
54,"Gurdaspur, Punjab, India"
55,"Malerkotla, Punjab, India"
56,"Sardarshahar, Rajasthan, India"
57,"Pali, Rajasthan, India"
58,"Pindwara, Rajasthan, India"
59,"Sirohi, Rajasthan, India"
60,"Patan, Gujarat, India"
61,"Surendranagar, Gujarat, India"
62,"Gondal, Gujarat, India"
63,"Jetpur, Gujarat, India"
64,"Mahuva, Gujarat, India"
65,"Himmatnagar, Gujarat, India"
66,"Banswara, Rajasthan, India"
67,"Chittorgarh, Rajasthan, India"
68,"Mahidpur, Madhya Pradesh, India"
69,"Hoshangabad, Madhya Pradesh, India"
70,"Yavatmal, Maharashtra, India"
71,"Jalgaon Jamod, Maharashtra, India"
72,"Bhusawal, Maharashtra, India"
73,"Saint Dnyaneshwar Garden and Paithan park, Paithen, Maharashtra, India"
74,"Sinnar, Maharashtra, India"
75,"Ambernath, Maharashtra, India"
76,"Goregaon, Mumbai, Maharashtra, India"
77,"Mumbai, Maharashtra, India"
78,"Rasayani, Maharashtra, India"
79,"Ratnagiri, Maharashtra, India"
80,"Belgaum, Karnataka, India"
81,"Gokak, Karnataka, India"
82,"Jaysingpur, Maharashtra, India"
83,"Ausa, Maharashtra, India"
84,"Siddipet, Telangana, India"
85,"Suryapet, Telangana, India"
86,"Markapur, Andhra Pradesh, India"
87,"Nandyal, Andhra Pradesh, India"
88,"Proddatur, Andhra Pradesh, India"
89,"Dharmavaram, Andhra Pradesh, India"
90,"Guntakal, Andhra Pradesh, India"
91,"Kushtagi, Karnataka, India"
92,"Harihar, Karnataka, India"
93,"Ranebennur, Karnataka, India"
94,"Sagar, Karnataka, India"
95,"Udupi, Karnataka, India"
96,"Huliyar, Karnataka, India"
97,"Chikkaballapura, Karnataka, India"
98,"Ramanagara, Karnataka, India"
99,"Channapatna, Karnataka, India"
